,cut,color,clarity,carat,depth,table,price,x (Premium),z (Very Good),y (Good)
0,0,1,5,0.22,65.1,61.0,337,3.87,2.49,3.78
1,0,1,3,0.86,55.1,69.0,2757,6.45,3.52,6.33
2,0,2,3,0.96,66.3,62.0,2759,6.27,4.07,5.95
3,0,2,5,0.7,64.5,57.0,2762,5.57,3.58,5.53
4,0,2,5,0.7,65.3,55.0,2762,5.63,3.66,5.58
5,0,4,3,0.91,64.4,57.0,2763,6.11,3.93,6.09
6,0,4,3,0.91,65.7,60.0,2763,6.03,3.95,5.99
7,0,4,3,0.98,67.9,60.0,2777,6.05,4.08,5.97
8,0,3,2,0.84,55.1,67.0,2782,6.39,3.47,6.2
9,0,1,0,1.01,64.5,58.0,2788,6.29,4.03,6.21
10,0,6,3,1.05,65.8,59.0,2789,6.41,4.18,6.27
11,0,3,6,0.7,58.8,66.0,2797,5.81,3.44,5.9
12,0,1,3,1.01,67.4,60.0,2797,6.19,4.13,6.05
13,0,3,4,0.76,59.0,70.0,2800,5.89,3.46,5.8
14,0,5,2,0.9,67.3,59.0,2804,5.93,3.96,5.84
15,0,1,6,0.57,58.7,66.0,2805,5.34,3.16,5.43
16,0,2,5,0.74,61.1,68.0,2805,5.82,3.53,5.75
17,0,3,0,1.0,66.4,59.0,2808,6.16,4.07,6.09
18,0,2,0,1.2,64.6,56.0,2809,6.73,4.33,6.66
19,0,6,5,1.0,65.7,59.0,2811,6.14,4.01,6.07
20,0,5,3,0.99,68.1,56.0,2811,6.21,4.18,6.06
21,0,6,2,0.99,55.0,61.0,2812,6.72,3.68,6.67
22,0,6,5,0.9,65.0,56.0,2815,6.08,3.94,6.04
23,0,2,3,0.95,56.0,60.0,2815,6.62,3.68,6.53
24,0,1,3,0.96,53.1,63.0,2815,6.73,3.55,6.65
25,0,4,3,1.0,65.3,62.0,2818,6.34,4.08,6.12
26,0,4,3,0.9,65.8,54.0,2823,6.05,3.96,5.98
27,0,4,3,0.91,61.3,67.0,2825,6.24,3.81,6.19
28,0,3,3,0.9,65.3,59.0,2834,6.07,3.94,6.0
29,0,2,2,0.82,64.9,58.0,2838,5.83,3.77,5.79
30,0,3,2,0.95,66.7,56.0,2841,6.16,4.06,6.03
31,0,4,3,1.01,65.4,59.0,2846,6.3,4.11,6.26
32,0,0,3,0.75,64.6,57.0,2848,5.74,3.7,5.72
33,0,6,5,0.91,64.4,62.0,2854,6.06,3.89,6.03
34,0,6,5,0.91,65.4,60.0,2854,6.04,3.94,6.0
35,0,4,2,0.91,65.8,58.0,2854,6.04,3.96,6.01
36,0,1,3,0.98,53.3,67.0,2855,6.82,3.61,6.74
37,0,5,2,1.02,53.0,63.0,2856,6.84,3.66,6.77
38,0,3,3,1.0,67.8,61.0,2856,5.96,4.02,5.9
39,0,5,2,1.0,67.9,62.0,2856,6.19,4.15,6.03
40,0,4,3,1.0,66.1,56.0,2856,6.21,4.04,5.97
